#ChannelDisc.	Adder	Gain	 Offset  GainErr   OffsetErr

0	0	0	0.884   13.8   0.0169706   5.6285
0	0	1	0.874   -7.59999   0.0138564   4.59565
0	0	2	0.896   -23.2   0.0250067   8.29377
0	1	0	0.892   11.8   0.00832663   2.76163
0	1	1	0.907   -21.7   0.00971254   3.22129
0	1	2	0.906   -28.2   0.0092376   3.06377
1	0	0	0.872   18   0.0130128   4.31586
1	0	1	0.85   -0.2   0.014922   4.94907
1	0	2	0.856   -12.8   0.0064291   2.13229
1	1	0	0.867   22.5   0.0106927   3.54637
1	1	1	0.874   -9.6   0.00565687   1.87617
1	1	2	0.879   -20.5   0.00472581   1.56738
2	0	0	0.882   14.8   0.0188679   6.25779
2	0	1	0.9   -16.6   0.010832   3.59258
2	0	2	0.909   -29.9   0.00943399   3.1289
2	1	0	0.916   6   0.0128063   4.24735
2	1	1	0.922   -25.4   0.0216333   7.17496
2	1	2	0.926   -36.2   0.0145602   4.82908
3	0	0	0.91   14.6   0.00611011   2.02649
3	0	1	0.9   -7.4   0.0258972   8.58914
3	0	2	0.877   -14.9   0.0212838   7.05904
3	1	0	0.892   21.2   0.0241109   7.99667
3	1	1	0.896   -10.4   0.0136137   4.51516
3	1	2	0.889   -16.5   0.0200583   6.65257
4	0	0	0.915   14.7   0.00737112   2.44472
4	0	1	0.892   -3.6   0.0120554   3.99833
4	0	2	0.908   -20.8   0.00979796   3.24962
4	1	0	0.884   25.2   0.0154488   5.12379
4	1	1	0.89   -3   0.00730297   2.42212
4	1	2	0.903   -17.7   0.0143643   4.76411
5	0	0	0.918   15.2   0.0172046   5.70614
5	0	1	0.9   -8.00001   0.00730295   2.42212
5	0	2	0.904   -20.6   0.0221811   7.35663
5	1	0	0.887   24.1   0.008544   2.83372
5	1	1	0.874   -1.00001   0.010198   3.3823
5	1	2	0.895   -15.9   0.0168028   5.57285
6	0	0	0.935   6.5   0.010247   3.39853
6	0	1	0.908   -10.6   0.0184752   6.12753
6	0	2	0.896   -23.6   0.0160416   5.3204
6	1	0	0.895   18.1   0.017   5.63826
6	1	1	0.895   -10.7   0.0115902   3.84404
6	1	2	0.916   -27   0.0151877   5.0372
